Metadata,Ionization Freq.:541.433320:THz,Cooling Freq.:607.427844:THz,Repump Freq.:461.311320:THz,Window Start:160.000:us,Window Width:55.000:us,Cooling Sweeps Num:3:,Pulses Per Attempt:10
h,Time	ExpNum	AttemptNum	NeutralCounts	NeutralCounts_std	NumIons	PeakPos
1630615468.7020442	0	1	2.8	0
1630615508.636808	0	2	2.5	0
1630615545.338396	0	3	2.2	0
1630615581.8837097	0	4	1.4	1
1630615618.2870793	0	5	1.6	1
1630615658.4885962	0	6	1.6	2
1630615694.823937	0	7	2.4	2
1630615731.6950529	0	8	1.3	2
1630615772.1046615	0	9	1.8	2
1630615810.7676797	0	10	2.1	3
1630616388.3906481	1	1	0.0	0
1630616428.309835	1	2	0.0	0
1630616464.6931524	1	3	0.8	0
1630616501.5486908	1	4	1.9	0
1630616542.2895067	1	5	0.9	0
1630616579.2222419	1	6	1.2	0
1630616616.008737	1	7	1.2	0
1630616657.2350879	1	8	1.1	0
1630616694.2725382	1	9	0.8	0
1630616734.0725713	1	10	1.8	0
1630616775.5727708	1	11	1.4	0
1630616820.7784903	1	12	0.9	0
1630616861.4737227	1	13	1.6	0
1630616903.5028431	1	14	1.1	0
1630616945.0335279	1	15	1.7	0
1630616982.8242002	1	16	1.0	0
1630617023.1112444	1	17	1.1	0
1630617069.4244893	1	18	1.6	0
1630617109.919913	1	19	1.3	0
1630617147.2534208	1	20	1.0	0
1630617188.428684	1	21	1.6	0
1630617225.9898996	1	22	1.6	0
1630617264.9845479	1	23	1.1	0
1630617306.6987967	1	24	0.7	0
1630617343.9827473	1	25	1.5	0
1630617381.2994359	1	26	0.9	0
1630617418.6879754	1	27	0.9	0
1630617460.4969509	1	28	0.7	0
1630617498.1011698	1	29	1.2	0
1630617535.5650713	1	30	1.2	0
1630617576.609049	1	31	1.2	0
1630617613.502538	1	32	1.2	0
1630617650.8099196	1	33	1.1	0
1630617693.425328	1	34	1.4	0
1630617732.1624148	1	35	0.7	0
1630617769.9453893	1	36	1.1	0
1630617811.6105769	1	37	0.6	0
1630617849.4123216	1	38	0.9	0
1630617887.2011483	1	39	0.4	0
1630617924.541325	1	40	0.5	0
1630617966.329327	1	41	0.7	0
1630618004.048519	1	42	0.6	0
1630618041.809023	1	43	0.1	0
1630618083.4962277	1	44	0.1	0
1630618121.2907498	1	45	0.2	0
1630618158.598081	1	46	0.2	0
1630618200.2997985	1	47	0.3	0
1630618238.0754268	1	48	0.2	0
1630618275.4060595	1	49	0.1	0
