Metadata,Ionization Freq.:541.433315:THz,Cooling Freq.:607.427844:THz,Repump Freq.:461.311320:THz,Window Start:160.000:us,Window Width:55.000:us,Cooling Sweeps Num:3:,Pulses Per Attempt:10
h,Time	ExpNum	AttemptNum	NeutralCounts	NeutralCounts_std	NumIons	PeakPos
1630093825.4834154	0	1	4.5	0
1630093857.237189	0	2	4.5	0
1630093888.95225	0	3	3.8	0
1630093924.550314	0	4	4.0	0
1630093956.2805674	0	5	4.4	0
1630093988.014105	0	6	4.2	0
1630094020.2276733	0	7	3.4	0
1630094055.627553	0	8	4.4	0
1630094087.5517642	0	9	5.7	0
1630094119.3336446	0	10	5.0	0
1630094151.140943	0	11	5.7	0
1630094186.652817	0	12	5.0	0
1630094218.3676856	0	13	4.0	0
1630094250.5547307	0	14	6.1	0
1630094282.3470018	0	15	3.5	0
1630094314.2251403	0	16	4.2	1
1630094345.914746	0	17	5.9	1
1630094378.2076292	0	18	5.5	1
1630094409.1604567	0	19	5.5	1
1630094445.0370016	0	20	5.2	1
1630094477.0221486	0	21	4.6	2
1630094509.029207	0	22	6.4	1
1630094544.571369	0	23	4.9	1
1630094576.3262954	0	24	5.7	1
1630094608.047697	0	25	6.1	1
1630094639.9588618	0	26	4.9	2
1630094675.5050519	0	27	5.0	2
1630094707.6206906	0	28	5.8	3
1630094787.1402142	1	1	4.6	0
1630094822.6198797	1	2	6.2	0
1630094854.3719323	1	3	5.1	0
1630094886.1371856	1	4	5.9	0
1630094918.2165596	1	5	6.0	1
1630094953.8365662	1	6	4.0	1
1630094985.6424582	1	7	5.1	1
1630095017.7069533	1	8	3.1	1
1630095049.5158234	1	9	5.5	1
1630095085.0469453	1	10	6.5	1
1630095116.9055707	1	11	6.3	1
1630095148.7042687	1	12	5.5	1
1630095184.3263383	1	13	5.7	1
1630095216.4724164	1	14	4.6	1
1630095248.5054548	1	15	5.2	1
1630095280.384519	1	16	5.8	1
1630095316.0474398	1	17	7.2	1
1630095348.0246587	1	18	6.2	1
1630095379.7737696	1	19	5.2	1
1630095411.6291955	1	20	5.4	1
1630095447.2220933	1	21	4.7	1
1630095479.0631015	1	22	7.0	1
1630095511.0192416	1	23	4.3	1
1630095542.8671625	1	24	5.5	1
1630095578.512172	1	25	6.3	1
1630095610.5538425	1	26	4.3	1
1630095642.828917	1	27	4.8	2
1630095674.6804066	1	28	3.7	2
1630095710.163417	1	29	6.0	2
1630095742.2900174	1	30	4.9	2
1630095774.2046587	1	31	4.0	2
1630095806.217744	1	32	5.1	2
1630095841.9991634	1	33	5.5	3
1630095921.687388	2	1	4.9	0
1630095957.339773	2	2	4.2	0
1630095989.4236608	2	3	4.3	0
1630096021.2529836	2	4	4.7	0
1630096053.3947866	2	5	4.5	1
1630096089.0352786	2	6	3.2	1
1630096121.1367354	2	7	4.3	1
1630096153.3379216	2	8	4.2	1
1630096185.25924	2	9	3.4	1
1630096220.8270848	2	10	4.9	1
1630096252.8925824	2	11	3.9	1
1630096285.094777	2	12	3.2	1
1630096317.2782688	2	13	3.5	1
1630096352.9437149	2	14	4.0	1
1630096385.160908	2	15	5.2	2
1630096417.3000388	2	16	3.8	2
1630096449.4721372	2	17	4.5	2
1630096485.0800436	2	18	4.2	2
1630096517.261657	2	19	3.9	2
1630096549.5134478	2	20	4.7	3
1630096629.592907	3	1	4.0	0
1630096661.6007168	3	2	5.2	0
1630096693.9308345	3	3	4.5	0
1630096729.87631	3	4	3.9	0
1630096762.1389518	3	5	5.9	1
1630096794.270423	3	6	3.9	1
1630096826.2012525	3	7	3.8	1
1630096862.0793407	3	8	4.5	1
1630096894.3327801	3	9	4.7	1
1630096926.4473054	3	10	3.2	1
1630096958.6505303	3	11	2.9	1
1630096994.8539414	3	12	4.0	2
1630097026.9286041	3	13	3.8	2
1630097059.1149466	3	14	4.3	2
1630097091.3228981	3	15	4.1	2
1630097127.0551438	3	16	3.8	1
1630097159.185958	3	17	4.0	2
1630097191.308095	3	18	4.3	2
1630097223.5071173	3	19	4.4	2
1630097259.3273108	3	20	2.5	1
1630097291.8680398	3	21	5.1	2
1630097324.0439003	3	22	3.2	1
1630097359.7386775	3	23	4.1	1
1630097391.8764317	3	24	4.8	2
1630097423.9974847	3	25	3.8	2
1630097456.226013	3	26	4.2	3
1630097539.672346	4	1	2.9	0
1630097571.7961369	4	2	3.4	1
1630097603.9076757	4	3	3.5	1
1630097639.8484077	4	4	5.0	1
1630097672.1177075	4	5	3.9	2
1630097704.2752876	4	6	4.1	2
1630097736.5116148	4	7	4.1	3
1630097820.675018	5	1	2.9	0
1630097852.7891319	5	2	4.3	0
1630097888.5655482	5	3	3.0	0
1630097920.679188	5	4	4.0	0
1630097953.0121186	5	5	3.6	0
1630097985.1918683	5	6	2.4	1
1630098021.0960262	5	7	4.9	1
1630098053.2739916	5	8	3.0	1
1630098085.434426	5	9	3.0	1
1630098117.6207511	5	10	3.2	1
1630098153.7078395	5	11	4.1	1
1630098185.9653702	5	12	2.5	2
1630098218.271877	5	13	4.4	2
1630098250.4206462	5	14	2.9	2
1630098283.572581	5	15	3.5	2
1630098315.773991	5	16	3.1	2
1630098348.5486996	5	17	4.2	2
1630098384.570222	5	18	3.8	2
1630098416.7860947	5	19	4.0	2
1630098448.9294412	5	20	3.4	2
1630098481.1564176	5	21	4.4	2
1630098517.2571805	5	22	3.5	2
1630098549.488808	5	23	3.7	2
1630098581.7691765	5	24	3.6	3
1630098666.2917197	6	1	3.0	0
1630098698.880832	6	2	3.1	0
1630098731.2537916	6	3	2.9	0
