Metadata,Ionization Freq.:541.433317:THz,Cooling Freq.:607.427854:THz,Repump Freq.:461.312182:THz,Window Start:160.000:us,Window Width:55.000:us,Cooling Sweeps Num:3:,Pulses Per Attempt:1
h,Time	AttemptNum	IonCounts138	IonCounts138_std	NeutralCounts	BG	BG_std
1621625460.971859	1	629.5	19.7	2.0	606.2	28.8
1621625490.6426082	2	597.5	17.1	2.0	622.7	25.8
1621625520.8454502	3	602.1	16.3	2.0	614.9	19.6
1621625550.721185	4	618.0	23.5	4.0	606.5	21.5
1621625581.219015	5	610.5	30.0	2.0	618.6	33.3
1621625611.1349115	6	615.5	23.8	2.0	623.3	19.0
1621625641.8755236	7	612.5	28.0	3.0	627.3	21.3
1621625673.3251278	8	606.8	12.4	3.0	626.3	20.2
1621625704.5155303	9	619.6	28.9	3.0	601.6	22.7
1621625734.9664052	10	616.6	29.5	3.0	621.6	18.6
1621625765.2277744	11	623.1	20.8	1.0	620.0	26.6
1621625795.6192524	12	616.5	22.5	2.0	614.5	20.1
1621625826.4736905	13	611.0	22.9	0.0	618.4	16.3
1621625857.3210182	14	613.9	43.6	2.0	613.9	30.7
1621625888.8248909	15	608.3	19.7	1.0	611.4	14.9
1621625919.9108655	16	608.7	27.8	0.0	615.0	26.0
1621625951.2266505	17	631.0	23.9	3.0	613.3	16.8
1621625982.1124415	18	628.5	16.1	2.0	624.5	27.6
1621626013.922102	19	623.0	27.2	2.0	627.4	23.6
1621626045.4288547	20	623.8	17.9	3.0	608.0	23.4
1621626076.9715698	21	618.5	27.6	2.0	623.3	26.2
1621626111.014414	22	611.2	21.9	1.0	622.5	19.0
1621626144.7168598	23	617.6	21.8	2.0	616.8	25.5
1621626176.309057	24	608.7	18.0	3.0	623.6	19.8
1621626208.4317348	25	612.2	23.2	1.0	613.3	23.8
1621626239.4653192	26	632.6	20.2	0.0	630.2	22.8
1621626270.9014707	27	610.3	21.3	4.0	607.3	16.4
1621626302.0983205	28	628.0	23.4	3.0	613.9	26.4
1621626333.6043825	29	919.6	33.6	2.0	616.2	15.5
1621626364.6969733	1	614.9	17.9	1.0	623.4	25.9
1621626396.9150465	2	619.5	26.2	3.0	622.3	26.7
1621626429.289995	3	614.2	19.8	2.0	611.7	31.2
1621626461.274277	4	633.6	31.8	2.0	620.8	26.4
1621626493.1925335	5	637.5	22.3	7.0	632.2	25.0
1621626525.6146662	6	623.0	22.7	2.0	619.2	19.2
1621626558.6101966	7	620.5	16.1	1.0	616.4	31.5
1621626590.8051994	8	608.4	33.3	1.0	613.2	31.4
1621626623.606943	9	621.6	33.6	2.0	630.9	27.8
1621626655.9973917	10	617.4	23.7	1.0	620.2	20.7
1621626688.6640189	11	592.4	18.9	2.0	619.8	47.3
1621626721.6971455	12	618.7	21.5	2.0	614.7	29.7
1621626754.0660908	13	616.5	30.3	3.0	626.5	22.9
1621626786.4956288	14	617.8	20.1	3.0	621.3	17.6
1621626818.9540644	15	610.3	17.3	1.0	603.9	35.0
1621626851.511573	16	622.3	19.1	4.0	616.7	22.5
1621626884.5060174	17	622.9	24.6	0.0	618.2	23.2
1621626917.3627684	18	612.8	23.9	1.0	630.2	25.0
1621626950.417151	19	629.7	26.9	3.0	630.6	24.0
