Metadata,Ionization Freqs.:541.433042 -50 350 10:THz MHz,Window Start:170.000:us,Window Width:55.000:us,Calibration Window Start:145:us,Calibration Window Width:55:us,BG:0.32:,BG_std:0.5455272678794342:
h,Time	ExpNum	IonizationFreq	NeutralCounts
1621548374.5902753	1	541.433042	91.0
1621548381.033816	2	541.432992	3.0
1621548387.4358637	3	541.433042	105.0
1621548393.935731	4	541.433002	0.0
1621548400.306927	5	541.433042	125.0
1621548406.7189636	6	541.433012	4.0
1621548413.0685246	7	541.433042	139.0
1621548419.553767	8	541.433022	11.0
1621548425.9441347	9	541.433042	211.0
1621548432.4490528	10	541.433032	21.0
1621548438.832405	11	541.433042	155.0
1621548445.1592042	12	541.433042	16.0
1621548451.3966756	13	541.433042	194.0
1621548457.8272834	14	541.433052	16.0
1621548464.1478019	15	541.433042	6.0
1621548470.8926396	16	541.433062	8.0
1621548477.2943122	17	541.433042	163.0
1621548483.7125237	18	541.433072	4.0
1621548490.0086613	19	541.433042	135.0
1621548496.4316804	20	541.433082	4.0
1621548502.7510715	21	541.433042	168.0
1621548509.1831625	22	541.433092	4.0
1621548515.623481	23	541.433042	129.0
1621548522.1046848	24	541.433102	1.0
1621548528.4826603	25	541.433042	106.0
1621548534.9406943	26	541.433112	0.0
1621548541.3178709	27	541.433042	1.0
1621548547.7406757	28	541.433122	0.0
1621548554.1890056	29	541.433042	2.0
1621548560.6772778	30	541.433132	1.0
1621548567.0547445	31	541.433042	118.0
1621548573.4949183	32	541.433142	1.0
1621548579.8537545	33	541.433042	115.0
1621548586.3715746	34	541.433152	3.0
1621548592.8165634	35	541.433042	111.0
1621548599.2189624	36	541.433162	9.0
1621548605.6174212	37	541.433042	133.0
1621548612.0395386	38	541.433172	8.0
1621548618.4250379	39	541.433042	169.0
1621548624.808736	40	541.433182	3.0
1621548631.1530268	41	541.433042	111.0
1621548637.540181	42	541.433192	3.0
1621548643.8802617	43	541.433042	114.0
1621548650.2747114	44	541.433202	0.0
1621548656.6114573	45	541.433042	103.0
1621548663.0331633	46	541.433212	2.0
1621548669.3816226	47	541.433042	112.0
1621548675.855828	48	541.433222	0.0
1621548682.5867403	49	541.433042	116.0
1621548689.80314	50	541.433232	2.0
1621548696.5303807	51	541.433042	123.0
1621548703.6139555	52	541.433242	2.0
1621548710.8489897	53	541.433042	120.0
1621548718.4706533	54	541.433252	0.0
1621548725.5317779	55	541.433042	1.0
1621548732.915897	56	541.433262	2.0
1621548739.3694801	57	541.433042	132.0
1621548745.8868341	58	541.433272	2.0
1621548752.4019153	59	541.433042	145.0
1621548758.8795187	60	541.433282	1.0
1621548765.3068323	61	541.433042	171.0
1621548771.9919949	62	541.433292	3.0
1621548778.4310777	63	541.433042	139.0
1621548784.9208245	64	541.433302	1.0
1621548791.3731067	65	541.433042	139.0
1621548797.8432808	66	541.433312	1.0
1621548804.3124948	67	541.433042	132.0
1621548810.753162	68	541.433322	1.0
1621548817.218242	69	541.433042	121.0
1621548823.6839864	70	541.433332	1.0
1621548830.0971615	71	541.433042	165.0
1621548836.5736592	72	541.433342	1.0
1621548843.0732114	73	541.433042	147.0
1621548849.6499481	74	541.433352	1.0
1621548856.0476916	75	541.433042	153.0
1621548862.4996514	76	541.433362	3.0
1621548868.9002037	77	541.433042	131.0
1621548875.3711143	78	541.433372	3.0
1621548881.8444853	79	541.433042	139.0
1621548888.3203218	80	541.433382	2.0
1621548894.7357082	81	541.433042	140.0
1621548901.3842096	1	541.432992	1.0
1621548907.8079758	2	541.433042	108.0
1621548914.402614	3	541.433002	2.0
1621548920.8332226	4	541.433042	125.0
1621548927.2755036	5	541.433012	5.0
1621548933.742075	6	541.433042	159.0
1621548940.2469397	7	541.433022	2.0
1621548946.7455096	8	541.433042	166.0
1621548953.3112276	9	541.433032	0.0
1621548959.7897751	10	541.433042	167.0
1621548966.237557	11	541.433042	6.0
1621548972.6444104	12	541.433042	8.0
1621548979.1933498	13	541.433052	14.0
1621548985.9848475	14	541.433042	149.0
1621548993.6125884	15	541.433062	7.0
1621549000.5119166	16	541.433042	119.0
1621549007.4863658	17	541.433072	4.0
1621549014.6225467	18	541.433042	116.0
1621549022.1830773	19	541.433082	6.0
1621549029.1465998	20	541.433042	171.0
1621549036.4887762	21	541.433092	5.0
1621549043.615798	22	541.433042	196.0
1621549051.5422397	23	541.433102	8.0
1621549059.0217752	24	541.433042	185.0
1621549066.2696593	25	541.433112	3.0
1621549073.4408891	26	541.433042	8.0
1621549080.8831022	27	541.433122	4.0
1621549088.1900733	28	541.433042	197.0
1621549095.126993	29	541.433132	4.0
1621549101.8927207	30	541.433042	7.0
1621549109.0874453	31	541.433142	2.0
1621549116.4880078	32	541.433042	184.0
1621549123.9272678	33	541.433152	3.0
1621549131.0228384	34	541.433042	178.0
1621549137.58906	35	541.433162	6.0
1621549144.099572	36	541.433042	200.0
1621549150.6244502	37	541.433172	6.0
1621549157.1139605	38	541.433042	185.0
1621549163.5648007	39	541.433182	2.0
1621549170.087498	40	541.433042	204.0
1621549176.564592	41	541.433192	5.0
1621549183.0190854	42	541.433042	178.0
1621549189.5214176	43	541.433202	1.0
1621549195.9682899	44	541.433042	126.0
1621549202.5203617	45	541.433212	1.0
1621549208.9902608	46	541.433042	172.0
1621549215.507858	47	541.433222	0.0
1621549221.9422176	48	541.433042	177.0
1621549228.559296	49	541.433232	1.0
1621549235.018688	50	541.433042	195.0
1621549241.588757	51	541.433242	0.0
1621549248.019855	52	541.433042	173.0
1621549254.5607011	53	541.433252	1.0
1621549261.0621097	54	541.433042	7.0
1621549267.6146328	55	541.433262	2.0
1621549274.1905227	56	541.433042	112.0
1621549280.6016886	57	541.433272	0.0
1621549287.072694	58	541.433042	113.0
1621549293.63851	59	541.433282	0.0
1621549300.1802843	60	541.433042	172.0
1621549306.806011	61	541.433292	0.0
1621549313.4147525	62	541.433042	122.0
1621549319.979562	63	541.433302	1.0
1621549326.6038523	64	541.433042	143.0
1621549333.150576	65	541.433312	1.0
1621549339.6616402	66	541.433042	145.0
1621549346.2313955	67	541.433322	3.0
1621549352.7768924	68	541.433042	152.0
1621549359.418065	69	541.433332	0.0
1621549365.9322584	70	541.433042	184.0
1621549372.4377937	71	541.433342	1.0
1621549378.8436148	72	541.433042	183.0
1621549385.3385773	73	541.433352	1.0
1621549391.8036356	74	541.433042	113.0
1621549398.3216677	75	541.433362	0.0
1621549404.7272477	76	541.433042	147.0
1621549411.2870228	77	541.433372	0.0
1621549417.8258717	78	541.433042	174.0
1621549425.0330167	79	541.433382	1.0
1621549431.5983458	80	541.433042	140.0
