
Metadata,IonizationFreqs:-0.000025 0.000025 0.000005 541.433310 THz,CoolingFreq:607.427840,RepumpFreq:461.312180,WindowStart:160.000,WindowWidth:55.000
hLoopCount	AttemptCount	Freq553	IonTrapped	NeutralCounts	ydataAvg	ydataStD	BGydataAvg	BGydataStD
8	8	541.433320	False	13.000000	22.100000	4.085340	19.900000	4.908156
8	9	541.433325	False	14.000000	21.900000	2.071232	19.000000	4.878524
8	10	541.433330	False	14.000000	17.100000	4.276681	18.700000	2.830194
8	11	541.433335	False	12.000000	20.800000	3.841875	21.600000	4.152108
9	1	541.433285	False	11.000000	20.500000	3.640055	19.000000	3.577709
9	2	541.433290	False	15.000000	20.500000	6.135960	17.800000	3.091925
9	3	541.433295	False	12.000000	18.300000	5.119570	21.300000	4.450843
9	4	541.433300	False	11.000000	20.400000	3.638681	18.600000	4.630335
9	5	541.433305	False	11.000000	20.400000	4.779121	20.100000	4.392038
9	6	541.433310	False	15.000000	20.400000	3.583295	20.700000	3.436568
9	7	541.433315	False	11.000000	22.500000	5.239275	21.100000	4.805206
9	8	541.433320	False	15.000000	20.900000	5.485435	20.300000	4.267318
9	9	541.433325	False	8.000000	17.400000	3.440930	20.100000	4.614109
9	10	541.433330	False	16.000000	17.200000	4.261455	20.100000	4.482187
9	11	541.433335	False	15.000000	21.600000	1.624808	22.600000	4.498889
10	1	541.433285	False	7.000000	19.400000	4.200000	20.300000	5.692978
10	2	541.433290	False	14.000000	17.700000	2.570992	20.300000	4.100000
10	3	541.433295	False	15.000000	21.300000	3.976179	20.200000	3.429286
10	4	541.433300	False	11.000000	20.300000	4.172529	19.000000	3.346640
10	5	541.433305	False	16.000000	21.200000	9.228218	18.400000	5.295281
10	6	541.433310	False	6.000000	22.100000	3.238827	17.100000	3.505710
10	7	541.433315	False	12.000000	18.900000	3.047950	19.300000	4.627094
10	8	541.433320	False	15.000000	19.000000	4.647580	20.600000	4.476606
10	9	541.433325	False	4.000000	19.800000	5.306600	20.200000	3.249615
10	10	541.433330	False	12.000000	18.400000	5.083306	20.000000	3.924283
10	11	541.433335	False	8.000000	18.800000	2.712932	17.700000	4.838388
IonizationFreqs:-0.000025, 0.000025, 0.000005, 541.433310 THz, CoolingFreq:607.427840, RepumpFreq:461.312180, WindowStart:160.000, WindowWidth:55.000
LoopCount	AttemptCount	Freq553	IonTrapped	NeutralCounts	ydataAvg	ydataStD	BGydataAvg	BGydataStD
1	1	541.433285	False	25.000000	16.900000	3.935734	14.900000	4.742362
1	2	541.433290	False	17.000000	16.400000	5.023943	15.300000	5.728001
1	3	541.433295	False	14.000000	14.100000	3.534119	15.300000	3.742993
1	4	541.433300	False	17.000000	15.100000	4.437342	14.200000	4.044750
1	5	541.433305	False	13.000000	16.700000	4.495553	13.600000	4.409082
1	6	541.433310	False	17.000000	13.800000	4.686150	15.300000	3.465545
1	7	541.433315	False	14.000000	12.800000	3.736308	16.300000	3.689173
1	8	541.433320	False	24.000000	14.800000	3.249615	14.800000	3.709447
1	9	541.433325	False	10.000000	15.700000	3.226453	15.700000	4.075537
1	10	541.433330	False	20.000000	13.500000	2.247221	11.800000	2.891366
1	11	541.433335	False	12.000000	14.000000	1.483240	16.000000	4.878524
2	1	541.433285	False	13.000000	13.100000	2.586503	14.900000	5.300000
2	2	541.433290	False	23.000000	15.300000	3.822303	17.600000	4.152108
2	3	541.433295	False	26.000000	15.400000	4.386342	13.400000	3.527038
2	4	541.433300	False	13.000000	13.800000	4.044750	14.800000	4.044750
2	5	541.433305	True	14.000000	155.300000	7.510659	13.300000	2.609598
2	6	541.433310	False	18.000000	14.000000	2.190890	14.900000	4.482187
2	7	541.433315	False	9.000000	15.300000	4.220190	12.600000	1.800000
2	8	541.433320	False	7.000000	14.500000	4.318565	14.100000	4.011234
2	9	541.433325	False	10.000000	17.000000	4.857983	15.200000	3.487119
2	10	541.433330	False	17.000000	16.400000	4.608687	15.800000	3.682391
2	11	541.433335	False	9.000000	14.200000	2.749545	12.300000	3.195309
3	1	541.433285	False	21.000000	11.400000	3.826225	13.500000	5.315073
3	2	541.433290	False	14.000000	12.800000	3.944617	14.300000	3.226453
3	3	541.433295	False	15.000000	17.500000	4.652956	15.700000	3.195309
3	4	541.433300	False	8.000000	14.800000	4.707441	15.200000	4.093898
3	5	541.433305	False	20.000000	14.500000	2.729469	13.800000	4.019950
3	6	541.433310	False	17.000000	13.500000	2.578759	14.800000	2.749545
3	7	541.433315	False	24.000000	15.300000	4.001250	14.900000	3.419064
3	8	541.433320	False	9.000000	12.500000	3.981206	12.900000	2.700000
3	9	541.433325	False	12.000000	15.400000	2.374868	14.200000	5.381450
3	10	541.433330	False	12.000000	14.200000	4.915282	14.300000	3.226453
3	11	541.433335	False	12.000000	14.300000	3.465545	15.100000	3.910243
4	1	541.433285	False	19.000000	12.500000	2.617250	14.200000	3.655133
4	2	541.433290	False	20.000000	14.200000	2.749545	15.300000	4.337050
4	3	541.433295	False	15.000000	13.400000	1.428286	14.300000	4.100000
4	4	541.433300	False	12.000000	13.500000	3.354102	16.300000	4.075537
4	5	541.433305	False	18.000000	14.600000	2.973214	12.600000	3.382307
4	6	541.433310	False	7.000000	13.300000	4.980964	16.200000	4.354308
4	7	541.433315	False	12.000000	15.600000	2.905168	12.600000	5.161395
