x0000,y0000
1581605815,2294,
1581605825,2385,
1581605835,2368,
1581605845,2355,
1581605855,2467,
1581605865,2359,
1581605875,2394,
1581605885,2358,
1581605895,2365,
1581605905,2346,
1581605915,2354,
1581605925,2356,
1581605935,2397,
1581605945,2330,
1581605955,2238,
1581605965,2417,
1581605975,2363,
1581605985,2228,
1581605995,2364,
1581606005,2426,
1581606015,2334,
1581606025,2370,
1581606035,2291,
1581606045,2452,
1581606055,2420,
1581606065,2408,
