Metadata,Ionization Freqs.:541.433047 -50 350 10:THz MHz,Window Start:170.000:us,Window Width:55.000:us,Calibration Window Start:145:us,Calibration Window Width:55:us,BG:0.52:,BG_std:0.699714227381436:
h,Time	ExpNum	IonizationFreq	NeutralCounts
1621971397.6087792	1	541.433047	6.0
1621971403.590401	2	541.432997	0.0
1621971409.6708565	3	541.433047	3.0
1621971417.2485428	4	541.433007	0.0
1621971423.3750587	5	541.433047	2.0
1621971430.0172048	6	541.433017	0.0
1621971436.240627	7	541.433047	2.0
1621971442.4372802	8	541.433027	2.0
1621971449.2519965	9	541.433047	0.0
1621971456.0243945	10	541.433037	1.0
1621971462.105412	11	541.433047	1.0
1621971467.8923976	12	541.433047	0.0
1621971473.2924666	13	541.433047	3.0
1621971479.262048	14	541.433057	1.0
1621971485.4362445	15	541.433047	2.0
1621971492.2988849	16	541.433067	1.0
