Metadata,Ionization Freqs.:541.433035 -50 350 10:THz MHz,Window Start:170.000:us,Window Width:55.000:us,Calibration Window Start:145:us,Calibration Window Width:55:us,BG:0.28:,BG_std:0.49152822909778027:
h,Time	ExpNum	IonizationFreq	NeutralCounts
1622055810.562073	1	541.433035	54.0
1622055814.7330782	2	541.432985	0.0
1622055818.8566694	3	541.433035	80.0
1622055823.1228595	4	541.432995	6.0
1622055827.2590702	5	541.433035	101.0
1622055831.5838087	6	541.433005	8.0
1622055835.7719233	7	541.433035	78.0
1622055839.9595122	8	541.433015	5.0
1622055844.1407723	9	541.433035	102.0
1622055848.492603	10	541.433025	5.0
1622055852.6934397	11	541.433035	124.0
1622055856.8456192	12	541.433035	6.0
1622055860.9981759	13	541.433035	98.0
1622055865.2704153	14	541.433045	8.0
1622055869.5110195	15	541.433035	129.0
1622055875.0148077	16	541.433055	6.0
1622055879.286748	17	541.433035	129.0
1622055883.5861294	18	541.433065	2.0
1622055887.6553419	19	541.433035	122.0
1622055891.917888	20	541.433075	5.0
1622055896.094841	21	541.433035	109.0
